name,Category,mrp,selling_price,offer_percentage,delivery_time(MIN),quantity,scrape_date,scrape_time,location,Delivery_Charges(Handelling+Delivery),Period,Climate,Surge_charges,Platform,mrp_range,sp_range,Stock
Raw Banana (Aratipandu),Fruit,38,31.0,18,8,3 pcs,2026-03-03,18:08:08,Madhapur,36.0,Evening,Clear,No,Blinkit,0-50,0-50,true
Nagpur - Orange,Fruit,76,61.0,19,8,500 g,2026-03-03,18:08:21,Madhapur,36.0,Evening,Clear,No,Blinkit,51-100,51-100,true
Mini Orange (Imported),Fruit,65,57.0,12,8,200 g,2026-03-03,18:08:34,Madhapur,36.0,Evening,Clear,No,Blinkit,51-100,51-100,true
Lemon (Nimakaya),Vegetable,43,36.0,16,8,200 g,2026-03-03,18:08:46,Madhapur,36.0,Evening,Clear,No,Blinkit,0-50,0-50,true
Green Chilli (Mirapakaya),Vegetable,15,12.0,20,8,100 g,2026-03-03,18:08:58,Madhapur,36.0,Evening,Clear,No,Blinkit,0-50,0-50,true
Bottle Gourd (Sorakaya),Vegetable,29,25.0,13,8,400 g,2026-03-03,18:09:11,Madhapur,36.0,Evening,Clear,No,Blinkit,0-50,0-50,true
Heritage Fresh Paneer,Paneer,115,101.0,12,15,200 g,2026-03-03,22:25:33,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,101-200,101-200,true
Heritage Nourish+ High Protein Paneer,Paneer,150,125.0,16,15,240 g,2026-03-03,22:25:53,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,101-200,101-200,true
Heritage Daily Health Toned Milk,Milk,33,31.0,6,16,450 ml,2026-03-03,22:26:15,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,0-50,0-50,true
Heritage Full Cream Milk,Milk,42,42.0,0,16,500 ml,2026-03-03,22:26:32,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,0-50,0-50,true
Arokya Full Cream Milk,Milk,42,42.0,0,16,500 ml,2026-03-03,22:26:48,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,0-50,0-50,true
Sids Farm Buffalo A2 Milk,Milk,99,95.0,0,15,250 ml,2026-03-03,22:27:05,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,51-100,51-100,true
Amul Taaza Toned Milk,Milk,16,16.0,0,15,200 ml,2026-03-03,22:27:26,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,0-50,0-50,true
Sids Farm Cow Milk,Milk,44,44.0,0,15,500 ml,2026-03-03,22:27:45,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,0-50,0-50,true
Amul Gold Homogenised Standardised,Milk,80,80.0,0,14,1 ltr,2026-03-03,22:28:01,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,51-100,51-100,true
Amul Buffalo Milk,Milk,40,40.0,0,14,500 ml,2026-03-03,22:28:20,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,0-50,0-50,true
Amul Taaza Homogenised Toned Milk,Milk,75,75.0,0,15,1 ltr,2026-03-03,22:28:38,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,51-100,51-100,true
Amul Fresh Malai Paneer,Paneer,94,94.0,0,15,200 g,2026-03-03,22:28:57,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,51-100,51-100,true
FreshtoHome Chicken - Skinless Curry Cut,Chicken,169,129.0,23,15,500 g,2026-03-03,22:29:15,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,101-200,101-200,true
Sneha Select Boneless Chicken Breast,Chicken,230,225.0,0,15,500 g,2026-03-03,22:29:33,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,201-300,201-300,true
Super Cool Frozen Skinless Chicken Drumsticksonions(Ulligadda),Chicken,185,185.0,0,15,450 g,2026-03-03,22:29:53,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,101-200,101-200,true
Organically Grown Onion (Ulligadda),Vegetable,40,35.0,12,15,500 g,2026-03-03,22:30:08,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,0-50,0-50,true
Organically Grown Tomato (Desi),Vegetable,35,29.0,17,15,500 g,2026-03-03,22:30:23,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,0-50,0-50,true
Desi Tomato (Tamatar),Vegetable,25,17.0,32,14,500 g,2026-03-03,22:30:39,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,0-50,0-50,true
Hybrid Tomato (Tamatar),Vegetable,28,18.0,35,14,500 g,2026-03-03,22:30:55,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,0-50,0-50,true
FreshToHome Mutton Curry Cut,Meat,409,369.0,9,14,300 g,2026-03-03,22:31:10,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,301-500,301-500,true
Premier Mutton Curry Cut,Meat,409,369.0,9,14,300 g,2026-03-03,22:31:27,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,301-500,301-500,true
Potato (Bangala Dumpa),Vegetable,68,59.0,13,14,1 kg,2026-03-03,22:31:51,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,51-100,51-100,true
Oraganically Grown Potato,Vegetable,68,59.0,13,13,1 kg,2026-03-03,22:32:04,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,51-100,51-100,true
Orange Carrot,Vegetable,23,20.0,13,13,500 g,2026-03-03,22:32:23,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,0-50,0-50,true
Beetroot,Vegetable,0,0.0,0,0,0.0,2026-03-03,22:32:44,Madhapur,0.0,Night/Mid Night,Clear,No,Blinkit,,0-50,false
Green Cucumber (Kheera),Vegetable,28,23.0,17,8,500 g,2026-03-03,22:33:04,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,0-50,0-50,true
English Cucumber,Vegetable,29,24.0,17,8,500 g,2026-03-03,22:33:21,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,0-50,0-50,true
Sneha Select Table White Eggs,Eggs,70,44.0,37,8,6 pcs,2026-03-03,22:33:43,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,51-100,0-50,true
Hello Eggs Brown Eggs,Eggs,75,64.0,14,8,6 pcs,2026-03-03,22:34:01,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,51-100,51-100,true
Licious White Protein Rich Egg,Eggs,85,85.0,0,8,6 pcs,2026-03-03,22:34:21,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,51-100,51-100,true
Shimla Apple,Fruit,127,105.0,17,9,500 g,2026-03-03,22:34:38,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,101-200,101-200,true
Red Delicious Apple - Imported,Fruit,174,148.0,14,9,225 g,2026-03-03,22:34:52,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,101-200,101-200,true
Granny Smith Apple,Fruit,207,165.0,0,8,300 g,2026-03-03,22:35:09,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,201-300,101-200,true
Banana (Aratipandu),Fruit,31,27.0,12,8,3 pcs,2026-03-03,22:35:27,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,0-50,0-50,true
Raw Banana (Aratipandu),Fruit,36,31.0,0,9,3 pcs,2026-03-03,22:35:47,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,0-50,0-50,true
Nagpur - Orange,Fruit,0,0.0,0,0,0.0,2026-03-03,22:36:06,Madhapur,0.0,Night/Mid Night,Clear,No,Blinkit,,0-50,false
Mini Orange (Imported),Fruit,74,57.0,22,9,200 g,2026-03-03,22:36:24,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,51-100,51-100,true
Lemon (Nimakaya),Vegetable,45,36.0,20,10,200 g,2026-03-03,22:36:43,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,0-50,0-50,true
Green Chilli (Mirapakaya),Vegetable,14,12.0,14,10,100 g,2026-03-03,22:37:13,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,0-50,0-50,true
Bottle Gourd (Sorakaya),Vegetable,32,25.0,21,10,400 g,2026-03-03,22:37:30,Madhapur,36.0,Night/Mid Night,Clear,No,Blinkit,0-50,0-50,true
Heritage Fresh Paneer,Paneer,115,101.0,12,13,200 g,2026-03-04,10:06:28,Madhapur,36.0,Morning,Clear,No,Blinkit,101-200,101-200,true
Heritage Nourish+ High Protein Paneer,Paneer,150,125.0,16,13,240 g,2026-03-04,10:06:44,Madhapur,36.0,Morning,Clear,No,Blinkit,101-200,101-200,true
Heritage Daily Health Toned Milk,Milk,32,32.0,0,13,500 ml,2026-03-04,10:06:59,Madhapur,36.0,Morning,Clear,No,Blinkit,0-50,0-50,true
Heritage Full Cream Milk,Milk,42,42.0,0,14,500 ml,2026-03-04,10:07:14,Madhapur,36.0,Morning,Clear,No,Blinkit,0-50,0-50,true
Arokya Full Cream Milk,Milk,42,42.0,0,14,500 ml,2026-03-04,10:07:30,Madhapur,36.0,Morning,Clear,No,Blinkit,0-50,0-50,true
Sids Farm Buffalo A2 Milk,Milk,63,63.0,0,14,500 ml,2026-03-04,10:07:45,Madhapur,36.0,Morning,Clear,No,Blinkit,51-100,51-100,true
Amul Taaza Toned Milk,Milk,16,16.0,0,14,200 ml,2026-03-04,10:08:00,Madhapur,36.0,Morning,Clear,No,Blinkit,0-50,0-50,true
Sids Farm Cow Milk,Milk,44,44.0,0,14,500 ml,2026-03-04,10:08:15,Madhapur,36.0,Morning,Clear,No,Blinkit,0-50,0-50,true
Amul Gold Homogenised Standardised,Milk,80,80.0,0,14,1 ltr,2026-03-04,10:08:31,Madhapur,36.0,Morning,Clear,No,Blinkit,51-100,51-100,true
Amul Buffalo Milk,Milk,59,51.0,13,14,450 ml,2026-03-04,10:08:46,Madhapur,36.0,Morning,Clear,No,Blinkit,51-100,51-100,true
Amul Taaza Homogenised Toned Milk,Milk,75,75.0,0,14,1 ltr,2026-03-04,10:09:02,Madhapur,36.0,Morning,Clear,No,Blinkit,51-100,51-100,true
Amul Fresh Malai Paneer,Paneer,94,94.0,0,14,200 g,2026-03-04,10:09:17,Madhapur,36.0,Morning,Clear,No,Blinkit,51-100,51-100,true
FreshtoHome Chicken - Skinless Curry Cut,Chicken,159,159.0,0,14,450 g,2026-03-04,10:09:31,Madhapur,36.0,Morning,Clear,No,Blinkit,101-200,101-200,true
Sneha Select Boneless Chicken Breast,Chicken,275,275.0,0,13,400 g,2026-03-04,10:09:46,Madhapur,36.0,Morning,Clear,No,Blinkit,201-300,201-300,true
Super Cool Frozen Skinless Chicken Drumsticksonions(Ulligadda),Chicken,185,185.0,0,13,450 g,2026-03-04,10:10:01,Madhapur,36.0,Morning,Clear,No,Blinkit,101-200,101-200,true
Organically Grown Onion (Ulligadda),Vegetable,42,35.0,16,13,500 g,2026-03-04,10:10:15,Madhapur,36.0,Morning,Clear,No,Blinkit,0-50,0-50,true
Organically Grown Tomato (Desi),Vegetable,35,29.0,17,13,500 g,2026-03-04,10:10:29,Madhapur,36.0,Morning,Clear,No,Blinkit,0-50,0-50,true
Desi Tomato (Tamatar),Vegetable,25,17.0,32,13,500 g,2026-03-04,10:10:44,Madhapur,36.0,Morning,Clear,No,Blinkit,0-50,0-50,true
Hybrid Tomato (Tamatar),Vegetable,28,18.0,35,12,500 g,2026-03-04,10:11:00,Madhapur,36.0,Morning,Clear,No,Blinkit,0-50,0-50,true
FreshToHome Mutton Curry Cut,Meat,799,485.0,39,12,480 g,2026-03-04,10:11:13,Madhapur,36.0,Morning,Clear,No,Blinkit,500+,301-500,true
Premier Mutton Curry Cut,Meat,799,485.0,39,12,480 g,2026-03-04,10:11:26,Madhapur,36.0,Morning,Clear,No,Blinkit,500+,301-500,true
Potato (Bangala Dumpa),Vegetable,29,24.0,17,12,500 g,2026-03-04,10:11:41,Madhapur,36.0,Morning,Clear,No,Blinkit,0-50,0-50,true
Oraganically Grown Potato,Vegetable,75,59.0,21,12,1 kg,2026-03-04,10:11:55,Madhapur,36.0,Morning,Clear,No,Blinkit,51-100,51-100,true
Orange Carrot,Vegetable,23,19.0,17,12,500 g,2026-03-04,10:12:10,Madhapur,36.0,Morning,Clear,No,Blinkit,0-50,0-50,true
Beetroot,Vegetable,0,0.0,0,0,0.0,2026-03-04,10:12:25,Madhapur,0.0,Morning,Clear,No,Blinkit,,0-50,false
Green Cucumber (Kheera),Vegetable,25,22.0,12,12,500 g,2026-03-04,10:12:41,Madhapur,36.0,Morning,Clear,No,Blinkit,0-50,0-50,true
English Cucumber,Vegetable,29,24.0,17,12,500 g,2026-03-04,10:12:56,Madhapur,36.0,Morning,Clear,No,Blinkit,0-50,0-50,true
Sneha Select Table White Eggs,Eggs,70,42.0,40,12,6 pcs,2026-03-04,10:13:11,Madhapur,36.0,Morning,Clear,No,Blinkit,51-100,0-50,true
Hello Eggs Brown Eggs,Eggs,75,64.0,14,13,6 pcs,2026-03-04,10:13:26,Madhapur,36.0,Morning,Clear,No,Blinkit,51-100,51-100,true
Licious White Protein Rich Egg,Eggs,85,85.0,0,13,6 pcs,2026-03-04,10:13:42,Madhapur,36.0,Morning,Clear,No,Blinkit,51-100,51-100,true
Shimla Apple,Fruit,132,109.0,17,13,500 g,2026-03-04,10:13:57,Madhapur,36.0,Morning,Clear,No,Blinkit,101-200,101-200,true
Red Delicious Apple - Imported,Fruit,174,148.0,14,13,225 g,2026-03-04,10:14:11,Madhapur,36.0,Morning,Clear,No,Blinkit,101-200,101-200,true
Granny Smith Apple,Fruit,198,165.0,16,12,300 g,2026-03-04,10:14:26,Madhapur,36.0,Morning,Clear,No,Blinkit,101-200,101-200,true
Banana (Aratipandu),Fruit,33,27.0,18,12,3 pcs,2026-03-04,10:14:41,Madhapur,36.0,Morning,Clear,No,Blinkit,0-50,0-50,true
Raw Banana (Aratipandu),Fruit,37,32.0,13,13,3 pcs,2026-03-04,10:14:57,Madhapur,36.0,Morning,Clear,No,Blinkit,0-50,0-50,true
Nagpur - Orange,Fruit,68,59.0,13,13,500 g,2026-03-04,10:15:12,Madhapur,36.0,Morning,Clear,No,Blinkit,51-100,51-100,true
Mini Orange (Imported),Fruit,72,57.0,20,12,200 g,2026-03-04,10:15:28,Madhapur,36.0,Morning,Clear,No,Blinkit,51-100,51-100,true
Lemon (Nimakaya),Vegetable,46,37.0,19,12,200 g,2026-03-04,10:15:42,Madhapur,36.0,Morning,Clear,No,Blinkit,0-50,0-50,true
Green Chilli (Mirapakaya),Vegetable,14,12.0,14,12,100 g,2026-03-04,10:15:58,Madhapur,36.0,Morning,Clear,No,Blinkit,0-50,0-50,true
Bottle Gourd (Sorakaya),Vegetable,32,25.0,21,12,400 g,2026-03-04,10:16:14,Madhapur,36.0,Morning,Clear,No,Blinkit,0-50,0-50,true
Super Cool Frozen Skinless Chicken Drumsticksonions(Ulligadda),Chicken,195,195.0,0,21,500 g,04-03-2026,13:15:47,Madhapur,36.0,Afternoon,Sunny,No,Blinkit,101-200,101-200,true
Organically Grown Onion (Ulligadda),Vegetable,46,37.0,19,21,500 g,04-03-2026,13:16:01,Madhapur,36.0,Afternoon,Sunny,No,Blinkit,0-50,0-50,true
Organically Grown Tomato (Desi),Vegetable,46,37.0,19,22,500 g,04-03-2026,13:16:15,Madhapur,36.0,Afternoon,Sunny,No,Blinkit,0-50,0-50,true
Desi Tomato (Tamatar),Vegetable,25,19.0,24,22,500 g,04-03-2026,13:16:31,Madhapur,36.0,Afternoon,Sunny,No,Blinkit,0-50,0-50,true
Hybrid Tomato (Tamatar),Vegetable,26,20.0,23,22,500 g,04-03-2026,13:16:47,Madhapur,36.0,Afternoon,Sunny,No,Blinkit,0-50,0-50,true
FreshToHome Mutton Curry Cut,Meat,625,562.0,10,22,500 g,04-03-2026,13:17:01,Madhapur,36.0,Afternoon,Sunny,No,Blinkit,500+,500+,true
Premier Mutton Curry Cut,Meat,625,562.0,10,22,500 g,04-03-2026,13:17:15,Madhapur,36.0,Afternoon,Sunny,No,Blinkit,500+,500+,true
Potato (Bangala Dumpa),Vegetable,0,0.0,0,0,0.0,04-03-2026,13:17:32,Madhapur,0.0,Afternoon,Sunny,No,Blinkit,,0-50,false
Oraganically Grown Potato,Vegetable,37,31.0,16,20,1 kg,04-03-2026,13:17:46,Madhapur,36.0,Afternoon,Sunny,No,Blinkit,0-50,0-50,true
Orange Carrot,Vegetable,16,13.0,18,20,200 g,04-03-2026,13:18:02,Madhapur,36.0,Afternoon,Sunny,No,Blinkit,0-50,0-50,true
Beetroot,Vegetable,0,0.0,0,0,0.0,04-03-2026,13:18:18,Madhapur,0.0,Afternoon,Sunny,No,Blinkit,,0-50,false
Green Cucumber (Kheera),Vegetable,36,32.0,11,21,500 g,04-03-2026,13:18:34,Madhapur,36.0,Afternoon,Sunny,No,Blinkit,0-50,0-50,true
English Cucumber,Vegetable,36,32.0,11,22,500 g,04-03-2026,13:18:50,Madhapur,36.0,Afternoon,Sunny,No,Blinkit,0-50,0-50,true
Sneha Select Table White Eggs,Eggs,85,56.0,34,22,6 pcs,04-03-2026,13:19:05,Madhapur,36.0,Afternoon,Sunny,No,Blinkit,51-100,51-100,true
Hello Eggs Brown Eggs,Eggs,115,91.0,20,22,6 pcs,04-03-2026,13:19:21,Madhapur,36.0,Afternoon,Sunny,No,Blinkit,101-200,51-100,true
Licious White Protein Rich Egg,Eggs,90,90.0,0,22,6 pcs,04-03-2026,13:19:37,Madhapur,36.0,Afternoon,Sunny,No,Blinkit,51-100,51-100,true
Shimla Apple,Fruit,129,101.0,21,21,500 g,04-03-2026,13:19:53,Madhapur,36.0,Afternoon,Sunny,No,Blinkit,101-200,101-200,true
Red Delicious Apple - Imported,Fruit,186,152.0,18,21,350 g,04-03-2026,13:20:09,Madhapur,36.0,Afternoon,Sunny,No,Blinkit,101-200,101-200,true
Granny Smith Apple,Fruit,177,150.0,15,21,300 g,04-03-2026,13:20:24,Madhapur,36.0,Afternoon,Sunny,No,Blinkit,101-200,101-200,true
Banana (Aratipandu),Fruit,0,0.0,0,0,0.0,04-03-2026,13:20:40,Madhapur,0.0,Afternoon,Sunny,No,Blinkit,,0-50,false
Raw Banana (Aratipandu),Fruit,55,45.0,0,20,3 pcs,04-03-2026,13:20:56,Madhapur,36.0,Afternoon,Sunny,No,Blinkit,51-100,0-50,true
Nagpur - Orange,Fruit,82,69.0,15,20,500 g,04-03-2026,13:21:12,Madhapur,36.0,Afternoon,Sunny,No,Blinkit,51-100,51-100,true
Mini Orange (Imported),Fruit,80,67.0,16,20,200 g,04-03-2026,13:21:28,Madhapur,36.0,Afternoon,Sunny,No,Blinkit,51-100,51-100,true
Lemon (Nimakaya),Vegetable,0,0.0,0,0,0.0,04-03-2026,13:21:43,Madhapur,0.0,Afternoon,Sunny,No,Blinkit,,0-50,false
Green Chilli (Mirapakaya),Vegetable,21,18.0,14,20,100 g,04-03-2026,13:21:59,Madhapur,36.0,Afternoon,Sunny,No,Blinkit,0-50,0-50,true
Bottle Gourd (Sorakaya),Vegetable,66,55.0,16,20,400 g,04-03-2026,13:22:15,Madhapur,36.0,Afternoon,Sunny,No,Blinkit,51-100,51-100,true
Heritage Fresh Paneer,Paneer,115,101.0,12,8,200 g,2026-03-04,17:02:53,Madhapur,36.0,Evening,Clear,No,Blinkit,101-200,101-200,true
Heritage Nourish+ High Protein Paneer,Paneer,150,125.0,16,8,240 g,2026-03-04,17:03:09,Madhapur,36.0,Evening,Clear,No,Blinkit,101-200,101-200,true
Heritage Daily Health Toned Milk,Milk,32,32.0,0,8,500 ml,2026-03-04,17:03:25,Madhapur,36.0,Evening,Clear,No,Blinkit,0-50,0-50,true
Heritage Full Cream Milk,Milk,42,42.0,0,8,500 ml,2026-03-04,17:03:42,Madhapur,36.0,Evening,Clear,No,Blinkit,0-50,0-50,true
Arokya Full Cream Milk,Milk,42,42.0,0,8,500 ml,2026-03-04,17:03:58,Madhapur,36.0,Evening,Clear,No,Blinkit,0-50,0-50,true
Sids Farm Buffalo A2 Milk,Milk,99,95.0,0,11,250 ml,2026-03-04,17:04:14,Madhapur,36.0,Evening,Clear,No,Blinkit,51-100,51-100,true
Amul Taaza Toned Milk,Milk,16,16.0,0,10,200 ml,2026-03-04,17:04:30,Madhapur,36.0,Evening,Clear,No,Blinkit,0-50,0-50,true
Sids Farm Cow Milk,Milk,44,44.0,0,10,500 ml,2026-03-04,17:04:46,Madhapur,36.0,Evening,Clear,No,Blinkit,0-50,0-50,true
Amul Gold Homogenised Standardised,Milk,80,80.0,0,12,1 ltr,2026-03-04,17:05:02,Madhapur,36.0,Evening,Clear,No,Blinkit,51-100,51-100,true
Amul Buffalo Milk,Milk,40,40.0,0,12,500 ml,2026-03-04,17:05:17,Madhapur,36.0,Evening,Clear,No,Blinkit,0-50,0-50,true
Amul Taaza Homogenised Toned Milk,Milk,29,29.0,0,11,500 ml,2026-03-04,17:05:34,Madhapur,36.0,Evening,Clear,No,Blinkit,0-50,0-50,true
Amul Fresh Malai Paneer,Paneer,94,94.0,0,11,200 g,2026-03-04,17:05:49,Madhapur,36.0,Evening,Clear,No,Blinkit,51-100,51-100,true
FreshtoHome Chicken - Skinless Curry Cut,Chicken,159,159.0,0,11,450 g,2026-03-04,17:06:04,Madhapur,36.0,Evening,Clear,No,Blinkit,101-200,101-200,true
Sneha Select Boneless Chicken Breast,Chicken,230,225.0,0,11,500 g,2026-03-04,17:06:20,Madhapur,36.0,Evening,Clear,No,Blinkit,201-300,201-300,true
Super Cool Frozen Skinless Chicken Drumsticksonions(Ulligadda),Chicken,185,185.0,0,11,450 g,2026-03-04,17:06:36,Madhapur,36.0,Evening,Clear,No,Blinkit,101-200,101-200,true
Organically Grown Onion (Ulligadda),Vegetable,44,35.0,20,11,500 g,2026-03-04,17:06:51,Madhapur,36.0,Evening,Clear,No,Blinkit,0-50,0-50,true
Organically Grown Tomato (Desi),Vegetable,35,29.0,17,11,500 g,2026-03-04,17:07:06,Madhapur,36.0,Evening,Clear,No,Blinkit,0-50,0-50,true
Desi Tomato (Tamatar),Vegetable,25,17.0,32,11,500 g,2026-03-04,17:07:22,Madhapur,36.0,Evening,Clear,No,Blinkit,0-50,0-50,true
Hybrid Tomato (Tamatar),Vegetable,28,18.0,35,11,500 g,2026-03-04,17:07:39,Madhapur,36.0,Evening,Clear,No,Blinkit,0-50,0-50,true
FreshToHome Mutton Curry Cut,Meat,799,485.0,39,11,480 g,2026-03-04,17:07:53,Madhapur,36.0,Evening,Clear,No,Blinkit,500+,301-500,true
Premier Mutton Curry Cut,Meat,799,485.0,39,11,480 g,2026-03-04,17:08:07,Madhapur,36.0,Evening,Clear,No,Blinkit,500+,301-500,true
Potato (Bangala Dumpa),Vegetable,28,24.0,14,10,500 g,2026-03-04,17:08:23,Madhapur,36.0,Evening,Clear,No,Blinkit,0-50,0-50,true
Oraganically Grown Potato,Vegetable,75,59.0,21,10,1 kg,2026-03-04,17:08:36,Madhapur,36.0,Evening,Clear,No,Blinkit,51-100,51-100,true
Orange Carrot,Vegetable,23,19.0,17,10,500 g,2026-03-04,17:08:54,Madhapur,36.0,Evening,Clear,No,Blinkit,0-50,0-50,true
Beetroot,Vegetable,0,0.0,0,0,0.0,2026-03-04,17:09:10,Madhapur,0.0,Evening,Clear,No,Blinkit,,0-50,false
Green Cucumber (Kheera),Vegetable,28,23.0,17,11,500 g,2026-03-04,17:09:26,Madhapur,36.0,Evening,Clear,No,Blinkit,0-50,0-50,true
English Cucumber,Vegetable,29,24.0,17,11,500 g,2026-03-04,17:09:42,Madhapur,36.0,Evening,Clear,No,Blinkit,0-50,0-50,true
Sneha Select Table White Eggs,Eggs,70,42.0,40,11,6 pcs,2026-03-04,17:09:58,Madhapur,36.0,Evening,Clear,No,Blinkit,51-100,0-50,true
Hello Eggs Brown Eggs,Eggs,75,64.0,14,11,6 pcs,2026-03-04,17:10:14,Madhapur,36.0,Evening,Clear,No,Blinkit,51-100,51-100,true
Licious White Protein Rich Egg,Eggs,85,85.0,0,10,6 pcs,2026-03-04,17:10:31,Madhapur,36.0,Evening,Clear,No,Blinkit,51-100,51-100,true
Shimla Apple,Fruit,143,124.0,13,10,500 g,2026-03-04,17:10:46,Madhapur,36.0,Evening,Clear,No,Blinkit,101-200,101-200,true
Red Delicious Apple - Imported,Fruit,174,148.0,14,10,225 g,2026-03-04,17:11:00,Madhapur,36.0,Evening,Clear,No,Blinkit,101-200,101-200,true
Granny Smith Apple,Fruit,199,165.0,0,10,300 g,2026-03-04,17:11:15,Madhapur,36.0,Evening,Clear,No,Blinkit,101-200,101-200,true
Banana (Aratipandu),Fruit,34,27.0,20,10,4 pcs,2026-03-04,17:11:31,Madhapur,36.0,Evening,Clear,No,Blinkit,0-50,0-50,true
Raw Banana (Aratipandu),Fruit,38,31.0,18,10,3 pcs,2026-03-04,17:11:46,Madhapur,36.0,Evening,Clear,No,Blinkit,0-50,0-50,true
Nagpur - Orange,Fruit,76,59.0,22,10,500 g,2026-03-04,17:12:02,Madhapur,36.0,Evening,Clear,No,Blinkit,51-100,51-100,true
Mini Orange (Imported),Fruit,74,57.0,22,10,200 g,2026-03-04,17:12:18,Madhapur,36.0,Evening,Clear,No,Blinkit,51-100,51-100,true
Lemon (Nimakaya),Vegetable,46,36.0,21,10,200 g,2026-03-04,17:12:33,Madhapur,36.0,Evening,Clear,No,Blinkit,0-50,0-50,true
Green Chilli (Mirapakaya),Vegetable,14,12.0,14,10,100 g,2026-03-04,17:12:48,Madhapur,36.0,Evening,Clear,No,Blinkit,0-50,0-50,true
Bottle Gourd (Sorakaya),Vegetable,31,25.0,19,10,400 g,2026-03-04,17:13:04,Madhapur,36.0,Evening,Clear,No,Blinkit,0-50,0-50,true
Heritage Fresh Paneer,Paneer,92,92.0,0,14,200 g,2026-03-04,21:46:14,Madhapur,36.0,Night,Clear,No,Blinkit,51-100,51-100,true
Heritage Nourish+ High Protein Paneer,Paneer,120,109.0,9,14,200 g,2026-03-04,21:46:27,Madhapur,36.0,Night,Clear,No,Blinkit,101-200,101-200,true
Heritage Daily Health Toned Milk,Milk,57,57.0,0,8,1 ltr,2026-03-04,21:46:38,Madhapur,36.0,Night,Clear,No,Blinkit,51-100,51-100,true
Heritage Full Cream Milk,Milk,42,42.0,0,8,500 ml,2026-03-04,21:46:51,Madhapur,36.0,Night,Clear,No,Blinkit,0-50,0-50,true
Arokya Full Cream Milk,Milk,42,42.0,0,8,500 ml,2026-03-04,21:47:04,Madhapur,36.0,Night,Clear,No,Blinkit,0-50,0-50,true
Sids Farm Buffalo A2 Milk,Milk,44,44.0,0,8,500 ml,2026-03-04,21:47:17,Madhapur,36.0,Night,Clear,No,Blinkit,0-50,0-50,true
Amul Taaza Toned Milk,Milk,29,29.0,0,8,450 ml,2026-03-04,21:47:32,Madhapur,36.0,Night,Clear,No,Blinkit,0-50,0-50,true
Sids Farm Cow Milk,Milk,44,44.0,0,8,500 ml,2026-03-04,21:47:45,Madhapur,36.0,Night,Clear,No,Blinkit,0-50,0-50,true
Amul Gold Homogenised Standardised,Milk,80,80.0,0,8,1 ltr,2026-03-04,21:47:58,Madhapur,36.0,Night,Clear,No,Blinkit,51-100,51-100,true
Amul Buffalo Milk,Milk,40,40.0,0,8,500 ml,2026-03-04,21:48:12,Madhapur,36.0,Night,Clear,No,Blinkit,0-50,0-50,true
Amul Taaza Homogenised Toned Milk,Milk,29,29.0,0,8,450 ml,2026-03-04,21:48:26,Madhapur,36.0,Night,Clear,No,Blinkit,0-50,0-50,true
Amul Fresh Malai Paneer,Paneer,94,94.0,0,8,200 g,2026-03-04,21:48:40,Madhapur,36.0,Night,Clear,No,Blinkit,51-100,51-100,true
